"species","decimalLatitude","decimalLongitude","wc2.1_2.5m_bio_1","wc2.1_2.5m_bio_2","wc2.1_2.5m_bio_5","wc2.1_2.5m_bio_9","wc2.1_2.5m_bio_12","wc2.1_2.5m_bio_15","wc2.1_2.5m_bio_19","wc2.1_2.5m_elev"
"Diaphorina citri",24.8125,73.6458333333333,23.9306659698486,12.1360006332397,37.7200012207031,17.0813331604004,681,144.659896850586,8,755
"Diaphorina citri",-16.1458333333333,144.3125,25.1186676025391,12.496000289917,34.6440010070801,22.6940002441406,959,114.230186462402,16,336
"Diaphorina citri",26.3958333333333,40.9375,23.4976673126221,15.7019996643066,41.2919998168945,32.4113311767578,129,83.8691482543945,36,1000
"Diaphorina citri",1.0625,114.979166666667,25.4328327178955,8.56833362579346,30.2280006408691,25.4686660766602,3944,16.8411273956299,968,404
"Diaphorina citri",53.1458333333333,51.5208333333333,4.52750015258789,10.3730001449585,27.7759990692139,-4.6453332901001,525,25.1582794189453,99,149
"Diaphorina citri",-1.39583333333333,11.8958333333333,23.4838333129883,7.90166664123535,29.2000007629395,21.8593330383301,1939,71.120849609375,26,605
"Diaphorina citri",27.9791666666667,-5.9375,24.4554996490479,14.186333656311,43.9080009460449,27.7700004577637,26,68.439453125,8,433
"Diaphorina citri",59.1875,51.1041666666667,1.88849997520447,8.89033317565918,22.8640003204346,-4.4946665763855,598,34.451343536377,106,160
"Diaphorina citri",23.6458333333333,40.7708333333333,27.3271675109863,15.110333442688,42.939998626709,34.5719985961914,96,71.5391159057617,23,950
"Diaphorina citri",-8.47916666666666,146.895833333333,22.5429992675781,9.81733322143555,28.5279998779297,21.6273326873779,2508,38.7114677429199,296,954
"Diaphorina citri",36.3541666666667,-104.270833333333,9.82849979400635,18.3156661987305,30.0599994659424,-0.0133332414552569,385,78.858024597168,24,1926
"Diaphorina citri",33.5208333333333,44.9791666666667,23.2509994506836,15.4593334197998,44.2999992370605,34.4640007019043,198,97.5697250366211,111,35
"Diaphorina citri",23.8541666666667,107.604166666667,19.6498336791992,7.26766633987427,30.3080005645752,13.3073329925537,1556,74.2094650268555,130,630
"Diaphorina citri",5.8125,118.104166666667,27.1124992370605,7.60833358764648,31.8999996185303,27.4833335876465,2467,30.5331363677979,838,16
"Diaphorina citri",-11.9791666666667,-48.3958333333333,25.3748340606689,12.3036661148071,33.6479988098145,24.2980003356934,1615,85.2292938232422,37,282
"Diaphorina citri",33.3958333333333,57.1875,19.1145000457764,13.9316673278809,38.8359985351562,29.1359996795654,135,100.530570983887,72,1074
"Diaphorina citri",1.02083333333334,37.3541666666667,20.9341659545898,11.798999786377,28.2959995269775,20.2486667633057,688,95.7947692871094,20,1193
"Diaphorina citri",34.1458333333333,-102.729166666667,14.1021661758423,17.0923328399658,33.2519989013672,5.72200012207031,444,63.4859886169434,39,1181
"Diaphorina citri",-3.52083333333333,14.4791666666667,24.0524997711182,9.10566711425781,30.2159996032715,22.271333694458,1698,70.2184906005859,15,469
"Diaphorina citri",30.9791666666667,-109.479166666667,18.050666809082,18.2553329467773,36.431999206543,21.6066665649414,348,94.1522521972656,66,1140
"Diaphorina citri",16.4791666666667,-5.72916666666669,29.25950050354,15.9416666030884,42.507999420166,23.4373321533203,195,135.574340820312,1,273
"Diaphorina citri",11.0208333333333,-6.85416666666669,27.1188335418701,12.4343328475952,36.8920021057129,25.5839996337891,1062,108.949096679688,11,331
"Diaphorina citri",3.72916666666667,96.8125,26.88596534729,9.22280693054199,32.3842124938965,27.0131568908691,2949,24.6267490386963,941,8
"Diaphorina citri",47.1041666666667,-111.979166666667,7.85150003433228,13.6236667633057,29.0120010375977,-2.64333343505859,328,59.5991630554199,35,1135
"Diaphorina citri",38.9791666666667,-82.5208333333333,11.4990005493164,12.8413333892822,29.6760005950928,0.0820000171661377,1055,17.6424102783203,218,239
"Diaphorina citri",20.3125,-13.8125,28.5301666259766,14.7390003204346,41.3440017700195,28.0299987792969,53,133.001922607422,3,134
"Diaphorina citri",-22.0625,-49.6458333333333,21.1133327484131,12.1526670455933,29.5480003356934,17.8713340759277,1241,60.9976081848145,150,490
"Diaphorina citri",25.8958333333333,78.4791666666666,25.8173332214355,13.7673330307007,42.9080009460449,24.6940002441406,993,147.00471496582,24,192
"Diaphorina citri",26.9375,58.8958333333333,25.3211669921875,11.3863334655762,38.4039993286133,31.7299995422363,178,86.4650344848633,95,555
"Diaphorina citri",49.6875,8.9375,8.54116725921631,7.46900033950806,22.0920009613037,4.33333349227905,1044,14.6249761581421,292,379
"Diaphorina citri",-7.02083333333333,106.5625,25.7070655822754,6.94601488113403,30.0826091766357,25.75,2772,47.9648780822754,1000,55
"Diaphorina citri",17.6875,30.8125,28.1695003509521,16.8209991455078,42.1959991455078,21.8360004425049,45,217.33024597168,0,308
"Diaphorina citri",11.3958333333333,99.1041666666666,26.4773330688477,7.86466646194458,32.6240005493164,25.2593326568604,2464,77.065544128418,182,67
"Diaphorina citri",28.8541666666667,2.9375,23.0931663513184,14.5883331298828,42.8640022277832,34.1800003051758,27,39.6325225830078,10,525
"Diaphorina citri",27.3541666666667,5.10416666666666,24.0233345031738,15.7080001831055,43,32.2613334655762,23,44.9613304138184,11,486
"Diaphorina citri",-18.0208333333333,33.8958333333333,23.2318325042725,13.0536670684814,33.939998626709,20.8020000457764,1077,97.9946365356445,39,489
"Diaphorina citri",20.9791666666667,4.77083333333331,25.9118328094482,14.1409997940063,39.9640007019043,22.3313331604004,31,134.343154907227,0,592
"Diaphorina citri",19.8125,40.8958333333333,30.673999786377,13.3386659622192,42.2959976196289,35.173999786377,173,39.645149230957,54,94
"Diaphorina citri",48.7291666666667,31.8958333333333,7.39833307266235,9.00599956512451,24.3559989929199,-3.33466672897339,534,32.4839744567871,111,163
"Diaphorina citri",11.4375,28.1875,28.2366676330566,14.4433326721191,40.0639991760254,26.9546661376953,480,124.340232849121,0,473
"Diaphorina citri",53.7708333333333,25.6875,5.96616649627686,7.21099996566772,21.0960006713867,-3.30933332443237,676,26.4762763977051,126,167
"Diaphorina citri",13.6458333333333,29.4375,26.8759994506836,15.3939990997314,39.015998840332,24.0426654815674,269,152.615982055664,0,598
"Diaphorina citri",11.6458333333333,-5.22916666666669,27.5731678009033,12.0209999084473,37.4680023193359,25.7093334197998,977,112.078353881836,8,337
"Diaphorina citri",-15.4375,132.145833333333,26.7325000762939,13.2016668319702,37.2400016784668,21.7593326568604,843,114.642036437988,8,178
"Diaphorina citri",-14.1875,132.979166666667,26.7258338928223,13.0836658477783,36.7319984436035,23.0693340301514,1071,116.022270202637,6,270
"Diaphorina citri",-20.9375,-49.1041666666667,22.6984996795654,12.2903327941895,30.003999710083,19.9326667785645,1252,77.3437194824219,86,496
"Diaphorina citri",30.6875,46.2291666666667,24.367000579834,15.0206661224365,43.4879989624023,34.3666687011719,89,93.7524032592773,54,34
"Diaphorina citri",51.8958333333333,86.0625,2.20016670227051,12.7183332443237,24.1760005950928,-10.6413335800171,701,52.9039993286133,76,567
"Diaphorina citri",-5.77083333333333,29.7708333333333,23.7971668243408,8.97299957275391,28.9640007019043,22.763334274292,1006,81.6557769775391,7,767
"Diaphorina citri",24.9791666666667,84.8958333333333,26.0236663818359,12.3693332672119,40.7040023803711,25.5126647949219,981,129.836532592773,31,89
